Source,Target,Weight,Floor,Category
A MONEY,Central Hatyai,1,3F,Bank & Financial Services
AB INTER SERVICE,Central Hatyai,1,3F,Lifestyle & Specialty
ABSOLUTE YOGA,Central Hatyai,1,3F,Beauty & Wellness
ADIDAS,Central Hatyai,1,2F,Fashion
AEON,Central Hatyai,1,3F,Bank & Financial Services
AFTER YOU,Central Hatyai,1,1F,Food & Beverage
AIIZ,Central Hatyai,1,2F,Fashion
AIS,Central Hatyai,1,3F,Technology
AIS,Central Hatyai,1,3F,Technology
AMADKUAYTEAWISLAM,Central Hatyai,1,4F,Food & Beverage
ANELLO,Central Hatyai,1,1F,Fashion
ARROW,Central Hatyai,1,1F,Fashion
ASICS,Central Hatyai,1,2F,Fashion
AUNTIE ANNE'S,Central Hatyai,1,2F,Food & Beverage
AURORA,Central Hatyai,1,1F,Fashion
AUTO1,Central Hatyai,1,GF,Lifestyle & Specialty
B2S,Central Hatyai,1,2F,Lifestyle & Specialty
BABANA CORN,Central Hatyai,1,4F,Food & Beverage
BABIES GENIUS,Central Hatyai,1,3F,Education
BAKE A WISH,Central Hatyai,1,GF,Food & Beverage
IT BANANA,Central Hatyai,1,3F,Technology
BANGKOK BANK,Central Hatyai,1,3F,Bank & Financial Services
BANK OF AYUDHYA,Central Hatyai,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Hatyai,1,5F,Food & Beverage
BATA,Central Hatyai,1,2F,Fashion
BATH & BODY WORKS,Central Hatyai,1,1F,Beauty & Wellness
BEAUTY BUFFET,Central Hatyai,1,GF,Beauty & Wellness
BEBE PHONE,Central Hatyai,1,3F,Technology
BIG CAMERA,Central Hatyai,1,3F,Technology
BLACK CANYON COFFEE,Central Hatyai,1,5F,Food & Beverage
BLACK PEARL,Central Hatyai,1,1F,Beauty & Wellness
BOATSHOP,Central Hatyai,1,3F,Fashion
BODY GLOVE,Central Hatyai,1,2F,Fashion
BONCHON,Central Hatyai,1,1F,Food & Beverage
BOOTS,Central Hatyai,1,GF,Beauty & Wellness
CAFE AMAZON,Central Hatyai,1,3F,Food & Beverage
CC-OO,Central Hatyai,1,2F,Fashion
CENTRAL DEPARTMENT STORE,Central Hatyai,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Hatyai,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Hatyai,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Hatyai,1,4F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Hatyai,1,5F,Lifestyle & Specialty
CHAKHEYWDI,Central Hatyai,1,4F,Food & Beverage
CHAMPION,Central Hatyai,1,2F,Fashion
CHARLES & KEITH,Central Hatyai,1,2F,Fashion
CHESTER'S,Central Hatyai,1,4F,Food & Beverage
COFFEE WORLD,Central Hatyai,1,4F,Food & Beverage
COLD STONE CREAMERY,Central Hatyai,1,2F,Food & Beverage
CONVERSE,Central Hatyai,1,2F,Fashion
CPS CHAPS,Central Hatyai,1,1F,Fashion
CREPE A DAY,Central Hatyai,1,2F,Food & Beverage
CYBORG KONG,Central Hatyai,1,3F,Technology
D'ARTE,Central Hatyai,1,2F,Fashion
DAIRY QUEEN,Central Hatyai,1,5F,Food & Beverage
DAIRY QUEEN,Central Hatyai,1,GF,Food & Beverage
DAISO,Central Hatyai,1,4F,Lifestyle & Specialty
DILAVIE,Central Hatyai,1,1F,Fashion
DOSH (DESCENDANT OF SUPERHEROES),Central Hatyai,1,2F,Fashion
DTAC,Central Hatyai,1,3F,Technology
ELIZABETH,Central Hatyai,1,1F,Fashion
EYE CLASS,Central Hatyai,1,4F,Fashion
FILA,Central Hatyai,1,2F,Fashion
FOOD PARK,Central Hatyai,1,4F,Food & Beverage
FOREVER FLAWLESS,Central Hatyai,1,2F,Beauty & Wellness
FUJI,Central Hatyai,1,4F,Food & Beverage
FUKU MATCHA,Central Hatyai,1,4F,Food & Beverage
GENTLEWOMAN,Central Hatyai,1,1F,Fashion
GIORDANO,Central Hatyai,1,1F,Fashion
GNC,Central Hatyai,1,GF,Beauty & Wellness
GO!WOW,Central Hatyai,1,4F,Lifestyle & Specialty
GOVERNMENT CENTER,Central Hatyai,1,4F,Lifestyle & Specialty
GOVERNMENT HOUSING BANK,Central Hatyai,1,3F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Hatyai,1,3F,Bank & Financial Services
GUAYTIEWRUAR LANTAPHIEN,Central Hatyai,1,GF,Food & Beverage
H&M,Central Hatyai,1,1F,Fashion
HACHIBAN RAMEN,Central Hatyai,1,5F,Food & Beverage
HALEESUSHI,Central Hatyai,1,4F,Food & Beverage
HANGTHONG WHANG TOH KANG YAOWARAJ,Central Hatyai,1,1F,Fashion
HATYAI HALL,Central Hatyai,1,5F,Entertainment
HUAWEI,Central Hatyai,1,3F,Technology
HUSH PUPPIES,Central Hatyai,1,2F,Fashion
ICEBATUABC.,Central Hatyai,1,4F,Food & Beverage
ICECREAMMAHACHAI,Central Hatyai,1,4F,Food & Beverage
IMPRESS HAIR SALON,Central Hatyai,1,4F,Beauty & Wellness
INLINGUA,Central Hatyai,1,3F,Education
IT CITY,Central Hatyai,1,3F,Technology
JASPAL,Central Hatyai,1,1F,Fashion
JAYMART,Central Hatyai,1,3F,Technology
JELLY BUNNY,Central Hatyai,1,1F,Fashion
JIB,Central Hatyai,1,3F,Technology
JUBILEE DIAMOND,Central Hatyai,1,1F,Fashion
JUICEANDCRAFT,Central Hatyai,1,4F,Food & Beverage
KAMU TEA,Central Hatyai,1,GF,Food & Beverage
KAOKANGKHONKON,Central Hatyai,1,4F,Food & Beverage
KAOSOICHIANGMAI,Central Hatyai,1,4F,Food & Beverage
KASIKORN BANK,Central Hatyai,1,3F,Bank & Financial Services
KEDAIKOPI,Central Hatyai,1,4F,Food & Beverage
KEYMAN,Central Hatyai,1,GF,Lifestyle & Specialty
KFC,Central Hatyai,1,GF,Food & Beverage
KHAMOOJAOSAU,Central Hatyai,1,4F,Food & Beverage
KIJIEWSONGKRUEING,Central Hatyai,1,4F,Food & Beverage
KOI THE,Central Hatyai,1,1F,Food & Beverage
KRUNG THAI BANK,Central Hatyai,1,3F,Bank & Financial Services
KRUNGSRI FIRST CHOICE,Central Hatyai,1,3F,Bank & Financial Services
KT OPTIC,Central Hatyai,1,4F,Fashion
KUAWTEAWRUARUENTHAI,Central Hatyai,1,4F,Food & Beverage
KUAYJABMUSLIMARISA,Central Hatyai,1,4F,Food & Beverage
LACOSTE,Central Hatyai,1,1F,Fashion
LAOS YUAN,Central Hatyai,1,5F,Food & Beverage
LEE,Central Hatyai,1,2F,Fashion
LEVI'S,Central Hatyai,1,1F,Fashion
LOOKCHINPLAMAN A,Central Hatyai,1,4F,Food & Beverage
LYN AROUND,Central Hatyai,1,2F,Fashion
MAJOR CINEPLEX,Central Hatyai,1,5F,Entertainment
MANCHESTER,Central Hatyai,1,2F,Fashion
MC DONALD'S,Central Hatyai,1,GF,Food & Beverage
MC JEANS,Central Hatyai,1,2F,Fashion
MINISO,Central Hatyai,1,2F,Lifestyle & Specialty
MIROR MIROR,Central Hatyai,1,GF,Beauty & Wellness
MISTER DONUT,Central Hatyai,1,4F,Food & Beverage
MK RESTAURANT,Central Hatyai,1,5F,Food & Beverage
MOSHI MOSHI,Central Hatyai,1,4F,Lifestyle & Specialty
MR. DIY,Central Hatyai,1,3F,Lifestyle & Specialty
MUSIC AVENUE,Central Hatyai,1,3F,Lifestyle & Specialty
NAI IN,Central Hatyai,1,4F,Lifestyle & Specialty
NANYUAN,Central Hatyai,1,4F,Food & Beverage
NITIPON CLINIC,Central Hatyai,1,4F,Beauty & Wellness
NUNUH,Central Hatyai,1,1F,Fashion
OFFICEMATE,Central Hatyai,1,GF,Lifestyle & Specialty
OLINO CREPE & TEA,Central Hatyai,1,GF,Food & Beverage
OOTOYA,Central Hatyai,1,4F,Food & Beverage
OPPO,Central Hatyai,1,3F,Technology
ORIENTAL PRINCESS,Central Hatyai,1,2F,Beauty & Wellness
OWNDAYS,Central Hatyai,1,1F,Fashion
P.A. PHONE,Central Hatyai,1,3F,Technology
PAN PAN PAN,Central Hatyai,1,4F,Food & Beverage
PANDALOOKCHINPLARABERD,Central Hatyai,1,4F,Food & Beverage
PANDORA,Central Hatyai,1,1F,Fashion
PAPATAGU,Central Hatyai,1,4F,Food & Beverage
PLAYBOY,Central Hatyai,1,1F,Fashion
POLI-CHEM,Central Hatyai,1,GF,Lifestyle & Specialty
POOTUMYOMSAAP,Central Hatyai,1,4F,Food & Beverage
POPCORN,Central Hatyai,1,4F,Food & Beverage
POTATO CORNER,Central Hatyai,1,4F,Food & Beverage
POWER BUY,Central Hatyai,1,2F,Technology
PUDTHAISAWOIE,Central Hatyai,1,4F,Food & Beverage
RADNALANGHOYTIENLAO,Central Hatyai,1,4F,Food & Beverage
ROYAL IVY REGATTA,Central Hatyai,1,2F,Fashion
RUNGSANGKAOMUNKAI,Central Hatyai,1,4F,Food & Beverage
S&P,Central Hatyai,1,5F,Food & Beverage
SABINA,Central Hatyai,1,2F,Fashion
SALE PHONE,Central Hatyai,1,3F,Technology
SAMSONITE,Central Hatyai,1,2F,Fashion
SAMSUNG,Central Hatyai,1,3F,Technology
SANAENAMPRIK,Central Hatyai,1,4F,Food & Beverage
SANTA FE' STEAK,Central Hatyai,1,5F,Food & Beverage
SE-ED,Central Hatyai,1,4F,Lifestyle & Specialty
SHABUSHI,Central Hatyai,1,5F,Food & Beverage
SIAM COMMERCIAL BANK,Central Hatyai,1,3F,Bank & Financial Services
SIZZLER,Central Hatyai,1,5F,Food & Beverage
SKECHERS,Central Hatyai,1,2F,Fashion
SLIM UP CENTER,Central Hatyai,1,4F,Beauty & Wellness
STARBUCKS COFFEE,Central Hatyai,1,1F,Food & Beverage
STRAWBERRY CLUB,Central Hatyai,1,3F,Lifestyle & Specialty
STUDIO 7,Central Hatyai,1,3F,Technology
SUDATAMSANG,Central Hatyai,1,4F,Food & Beverage
SUKISHI CHARCOAL GRILL,Central Hatyai,1,5F,Food & Beverage
SUPER,Central Hatyai,1,1F,Fashion
SUPER SPORTS,Central Hatyai,1,2F,Fashion
SWENSEN'S,Central Hatyai,1,5F,Food & Beverage
TAMSANGKHUNAEK,Central Hatyai,1,4F,Food & Beverage
TAYWIN ORIGINAL STYLE,Central Hatyai,1,2F,Fashion
TEAWZEEFOUR,Central Hatyai,1,4F,Food & Beverage
TEVA,Central Hatyai,1,2F,Fashion
TEXAS CHICKEN,Central Hatyai,1,4F,Food & Beverage
TG FONE,Central Hatyai,1,3F,Technology
THE KLINIQUE,Central Hatyai,1,4F,Beauty & Wellness
THE NORTH FACE,Central Hatyai,1,2F,Fashion
THE PIZZA COMPANY,Central Hatyai,1,4F,Food & Beverage
TMB THANACHART BANK,Central Hatyai,1,3F,Bank & Financial Services
TOPS MARKET,Central Hatyai,1,GF,Lifestyle & Specialty
TRUE,Central Hatyai,1,3F,Technology
U DIAMOND,Central Hatyai,1,1F,Fashion
UNIQLO,Central Hatyai,1,1F,Fashion
UOB XPRESS,Central Hatyai,1,3F,Bank & Financial Services
VICTORIA SECRET BEAUTY,Central Hatyai,1,1F,Beauty & Wellness
VIVO,Central Hatyai,1,3F,Technology
WATSONS,Central Hatyai,1,4F,Beauty & Wellness
WATSONS,Central Hatyai,1,GF,Beauty & Wellness
WATTS,Central Hatyai,1,3F,Lifestyle & Specialty
WITH IT,Central Hatyai,1,1F,Fashion
XIAOMI,Central Hatyai,1,3F,Technology
YAMAHA MUSIC SCHOOL,Central Hatyai,1,3F,Education
YAMAZAKI,Central Hatyai,1,GF,Food & Beverage
YAYOI,Central Hatyai,1,5F,Food & Beverage
YVES ROCHER,Central Hatyai,1,2F,Beauty & Wellness
ZEIN,Central Hatyai,1,2F,Fashion
ZOOM CAMERA,Central Hatyai,1,3F,Technology
